method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
ARAGORN_WITH_ARAX_FILTER_T100,10,42,6,27,719,69,39,0.875,0.6086956521739131,0.717948717948718,0.8461538461538461,0.15384615384615385,2.8,0.46153846153846156,0.7083333333333334,0.7266474266474267,0.8885114885114885,0.663003663003663,0.336996336996337,15,18,13,13
ARAGORN_RANKER,10,39,6,30,1214,69,39,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.8461538461538461,0.15384615384615385,2.6,0.46153846153846156,0.6941176470588235,0.6771524771524772,0.8951298701298701,0.5897435897435898,0.41025641025641024,15,17,12,13
RRF_A0.90_X0.10_C10,10,37,5,32,719,69,39,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.8717948717948718,0.1282051282051282,2.466666666666667,0.38461538461538464,0.734375,0.65998075998076,0.8792207792207792,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.90_X0.10_C20,10,37,5,32,719,69,39,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.8717948717948718,0.1282051282051282,2.466666666666667,0.38461538461538464,0.734375,0.65998075998076,0.8792207792207792,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.90_X0.10_C40,10,37,5,32,719,69,39,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.8717948717948718,0.1282051282051282,2.466666666666667,0.38461538461538464,0.734375,0.65998075998076,0.8792207792207792,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.90_X0.10_C50,10,37,5,32,719,69,39,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.8717948717948718,0.1282051282051282,2.466666666666667,0.38461538461538464,0.734375,0.65998075998076,0.8792207792207792,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.90_X0.10_C60,10,37,5,32,719,69,39,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.8717948717948718,0.1282051282051282,2.466666666666667,0.38461538461538464,0.734375,0.65998075998076,0.8792207792207792,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.80_X0.20_C10,10,36,5,33,719,69,39,0.8780487804878049,0.5217391304347826,0.6545454545454545,0.8717948717948718,0.1282051282051282,2.4,0.38461538461538464,0.7291666666666666,0.6539201539201539,0.8696969696969697,0.6666666666666666,0.3333333333333333,15,16,12,13
RRF_A0.60_X0.40_C20,10,35,5,34,719,69,39,0.875,0.5072463768115942,0.6422018348623854,0.8717948717948718,0.1282051282051282,2.3333333333333335,0.38461538461538464,0.6666666666666666,0.5215969215969216,0.8574891774891775,0.6886446886446886,0.31135531135531136,15,15,10,13
RRF_A0.70_X0.30_C40,10,35,5,34,719,69,39,0.875,0.5072463768115942,0.6422018348623854,0.8717948717948718,0.1282051282051282,2.3333333333333335,0.38461538461538464,0.6666666666666666,0.5215969215969216,0.8574891774891775,0.6886446886446886,0.31135531135531136,15,15,10,13
