scope,arax_veto_threshold,TopAnswer_count,TopAnswer_vetoed_count,TopAnswer_vetoed_rate,TopAnswer_aragorn_top10_count,TopAnswer_aragorn_top10_vetoed_count,TopAnswer_aragorn_top10_vetoed_rate,TopAnswer_aragorn_top20_count,TopAnswer_aragorn_top20_vetoed_count,TopAnswer_aragorn_top20_vetoed_rate,NeverShow_count,NeverShow_vetoed_count,NeverShow_vetoed_rate,NeverShow_aragorn_top10_count,NeverShow_aragorn_top10_vetoed_count,NeverShow_aragorn_top10_vetoed_rate,NeverShow_aragorn_top20_count,NeverShow_aragorn_top20_vetoed_count,NeverShow_aragorn_top20_vetoed_rate
overall,5,160,131,0.81875,93,65,0.6989247311827957,123,95,0.7723577235772358,131,125,0.9541984732824428,22,17,0.7727272727272727,27,22,0.8148148148148148
overall,10,160,120,0.75,93,54,0.5806451612903226,123,84,0.6829268292682927,131,123,0.9389312977099237,22,16,0.7272727272727273,27,21,0.7777777777777778
overall,20,160,108,0.675,93,48,0.5161290322580645,123,73,0.5934959349593496,131,118,0.9007633587786259,22,12,0.5454545454545454,27,17,0.6296296296296297
overall,25,160,102,0.6375,93,45,0.4838709677419355,123,68,0.5528455284552846,131,115,0.8778625954198473,22,11,0.5,27,16,0.5925925925925926
overall,50,160,86,0.5375,93,36,0.3870967741935484,123,57,0.4634146341463415,131,106,0.8091603053435115,22,9,0.4090909090909091,27,13,0.48148148148148145
overall,100,160,47,0.29375,93,25,0.26881720430107525,123,36,0.2926829268292683,131,96,0.732824427480916,22,6,0.2727272727272727,27,9,0.3333333333333333
ARAGORN_ARA,5,66,61,0.9242424242424242,34,29,0.8529411764705882,48,43,0.8958333333333334,71,68,0.9577464788732394,11,8,0.7272727272727273,13,10,0.7692307692307693
ARAGORN_ARA,10,66,56,0.8484848484848485,34,24,0.7058823529411765,48,38,0.7916666666666666,71,68,0.9577464788732394,11,8,0.7272727272727273,13,10,0.7692307692307693
ARAGORN_ARA,20,66,48,0.7272727272727273,34,18,0.5294117647058824,48,31,0.6458333333333334,71,66,0.9295774647887324,11,6,0.5454545454545454,13,8,0.6153846153846154
ARAGORN_ARA,25,66,42,0.6363636363636364,34,15,0.4411764705882353,48,26,0.5416666666666666,71,66,0.9295774647887324,11,6,0.5454545454545454,13,8,0.6153846153846154
ARAGORN_ARA,50,66,32,0.48484848484848486,34,11,0.3235294117647059,48,20,0.4166666666666667,71,63,0.8873239436619719,11,6,0.5454545454545454,13,7,0.5384615384615384
ARAGORN_ARA,100,66,21,0.3181818181818182,34,7,0.20588235294117646,48,12,0.25,71,60,0.8450704225352113,11,4,0.36363636363636365,13,5,0.38461538461538464
ARAX_ARA,5,69,46,0.6666666666666666,39,16,0.41025641025641024,53,30,0.5660377358490566,39,36,0.9230769230769231,6,4,0.6666666666666666,7,5,0.7142857142857143
ARAX_ARA,10,69,40,0.5797101449275363,39,10,0.2564102564102564,53,24,0.4528301886792453,39,34,0.8717948717948718,6,3,0.5,7,4,0.5714285714285714
ARAX_ARA,20,69,36,0.5217391304347826,39,10,0.2564102564102564,53,20,0.37735849056603776,39,32,0.8205128205128205,6,2,0.3333333333333333,7,3,0.42857142857142855
ARAX_ARA,25,69,36,0.5217391304347826,39,10,0.2564102564102564,53,20,0.37735849056603776,39,32,0.8205128205128205,6,2,0.3333333333333333,7,3,0.42857142857142855
ARAX_ARA,50,69,31,0.4492753623188406,39,6,0.15384615384615385,53,16,0.3018867924528302,39,30,0.7692307692307693,6,1,0.16666666666666666,7,2,0.2857142857142857
ARAX_ARA,100,69,5,0.07246376811594203,39,0,0.0,53,4,0.07547169811320754,39,26,0.6666666666666666,6,0,0.0,7,1,0.14285714285714285
BTE_ARA,5,25,24,0.96,20,20,1.0,22,22,1.0,21,21,1.0,5,5,1.0,7,7,1.0
BTE_ARA,10,25,24,0.96,20,20,1.0,22,22,1.0,21,21,1.0,5,5,1.0,7,7,1.0
BTE_ARA,20,25,24,0.96,20,20,1.0,22,22,1.0,21,20,0.9523809523809523,5,4,0.8,7,6,0.8571428571428571
BTE_ARA,25,25,24,0.96,20,20,1.0,22,22,1.0,21,17,0.8095238095238095,5,3,0.6,7,5,0.7142857142857143
BTE_ARA,50,25,23,0.92,20,19,0.95,22,21,0.9545454545454546,21,13,0.6190476190476191,5,2,0.4,7,4,0.5714285714285714
BTE_ARA,100,25,21,0.84,20,18,0.9,22,20,0.9090909090909091,21,10,0.47619047619047616,5,2,0.4,7,3,0.42857142857142855
