scope,label,count,aragorn_mean_rank,arax_mean_rank,aragorn_median_rank,arax_median_rank,aragorn_rank_le_10,arax_rank_le_10,aragorn_rank_le_20,arax_rank_le_20,aragorn_rank_le_50,arax_rank_le_50,aragorn_rank_le_100,arax_rank_le_100
overall,TopAnswer,160,12.9125,84.97972972972973,6.5,49.0,93,40,123,52,157,74,158,113
overall,NeverShow,131,213.3969465648855,371.046875,105.0,275.5,22,8,27,13,58,25,65,35
ARAGORN_ARA,TopAnswer,66,16.681818181818183,76.66666666666667,10.0,37.0,34,10,48,18,64,34,64,45
ARAGORN_ARA,NeverShow,71,342.4788732394366,505.2957746478873,333.0,433.0,11,3,13,5,14,8,16,11
ARAX_ARA,TopAnswer,69,11.681159420289855,46.594202898550726,6.0,27.0,39,29,53,33,68,38,69,64
ARAX_ARA,NeverShow,39,70.38461538461539,230.64864864864865,21.0,232.0,6,5,7,7,31,9,31,13
BTE_ARA,TopAnswer,25,6.36,250.6315789473684,2.0,262.0,20,1,22,1,25,2,25,4
BTE_ARA,NeverShow,21,42.57142857142857,154.2,41.0,80.0,5,0,7,1,13,8,18,11
